JT_KFFD_630_01_0100001_1DCSOPC_AI02154,JT_KFFD_630_01_0601212_1DCSOPC_AI01064,JT_KFFD_630_01_0603201_1DCSOPC_AI01116,JT_KFFD_630_01_0603202_1DCSOPC_AI01143,JT_KFFD_630_01_0603203_1DCSOPC_AI01144,JT_KFFD_630_01_0603205_1DCSOPC_AI01131,JT_KFFD_630_01_0603207_1DCSOPC_AI01141,JT_KFFD_630_01_0603209_1DCSOPC_AI01126,JT_KFFD_630_01_0603235_1DCSOPC_AI01129
310.2805,18.02963,329.2534,1.224017,1.369629,57.96454,52.40115,55.58612,59.08425
307.119,18.2348,330.1373,1.204882,1.349602,57.95615,52.4111,55.59668,59.66034
307.119,18.2912,334.7397,1.235863,1.369629,57.95264,52.39172,55.58743,60.0339
310.2296,18.57648,337.0972,1.239967,1.369629,57.95587,52.40503,55.59146,60.24979
310.1715,19.40035,338.6612,1.253986,1.385307,57.95752,52.41068,55.58475,60.82321
308.0784,19.73642,338.9718,1.259995,1.384659,57.93536,52.39996,55.58014,60.85379
309.5101,20.07751,339.3555,1.244354,1.38031,57.9375,52.40054,55.56512,61.23962
310.4695,19.94925,340.2841,1.278719,1.394691,57.94296,52.40329,55.57294,61.20453
311.1817,19.89987,340.8585,1.245358,1.384659,57.93787,52.39954,55.56137,61.68091
313.2748,19.91461,339.5309,1.256082,1.375275,57.93756,52.3927,55.56183,61.50098
314.5248,19.93951,339.4089,1.26503,1.399689,57.93439,52.41235,55.56873,61.18927
314.5248,19.97421,340.0748,1.259384,1.400337,57.9216,52.40625,55.56049,61.0539
314.3431,19.72675,339.8514,1.259384,1.389694,57.90131,52.41196,55.56891,61.13892
316.375,19.73306,341.8219,1.249371,1.384659,57.91275,52.39279,55.57404,61.6442
317.6863,19.85526,339.8514,1.25,1.369629,57.91586,52.3949,55.55234,60.91359
316.3355,19.53604,340.4019,1.259384,1.399689,57.90701,52.39651,55.55447,61.55431
316.1372,19.63104,340.6579,1.270027,1.409721,57.91327,52.4303,55.56705,61.14001
315.2952,20.01312,340.7898,1.229935,1.389694,57.90909,52.42154,55.56497,61.25221
315.724,20.38525,340.6906,1.250359,1.390305,57.89691,52.42291,55.56705,61.09924
315.9566,20.50885,339.7869,1.271681,1.369629,57.92041,52.41251,55.55096,61.01657
317.6736,20.38104,340.6601,1.28006,1.41037,57.89395,52.41998,55.5759,61.25641
316.4362,20.36676,339.1037,1.277106,1.404724,57.90067,52.42834,55.56097,61.41227
316.4362,20.24286,339.7255,1.263132,1.394691,57.90604,52.42892,55.56009,60.96344
315.5351,20.17453,340.6469,1.266434,1.389694,57.89636,52.4119,55.55844,61.4083
315.4842,20.16806,338.8159,1.224308,1.389694,57.87189,52.41837,55.54147,60.77859
315.4842,20.15646,337.2231,1.264381,1.389694,57.89417,52.40506,55.54434,60.36835
315.2952,20.0834,338.3484,1.239338,1.399689,57.87424,52.3819,55.55872,60.58807
314.0452,19.71396,335.2879,1.234951,1.394691,57.8652,52.40256,55.53412,60.28028
314.1033,19.59247,335.1517,1.219921,1.389694,57.85788,52.38931,55.52643,59.83582
312.1919,19.33746,334.9648,1.209269,1.385307,57.875,52.40039,55.5336,59.74426
314.7024,19.25774,332.5882,1.23361,1.369629,57.86694,52.37939,55.5267,59.49947
315.2444,19.12132,333.0023,1.222155,1.374626,57.86691,52.38144,55.53503,59.26339
313.0931,18.96301,332.3364,1.199245,1.369629,57.85004,52.37085,55.52982,59.23462
311.9012,18.47708,327.1855,1.21133,1.369629,57.85427,52.37329,55.51514,57.70569
312.8533,18.10709,326.3245,1.204262,1.329536,57.83694,52.37552,55.52026,57.78046
313.3838,17.61572,325.882,1.219292,1.329536,57.85489,52.35837,55.52057,57.88116
312.3736,17.2438,325.0656,1.219292,1.366831,57.85092,52.33878,55.51318,57.65533
311.8794,16.95138,325.0122,1.214905,1.351141,57.84927,52.32437,55.52231,57.74939
311.1817,16.72977,326.6296,1.229324,1.355247,57.84482,52.32056,55.5032,57.73163
311.9012,16.47226,325.4433,1.239958,1.362114,57.83408,52.32861,55.52234,57.75604
311.3343,16.49362,321.0602,1.219292,1.320152,57.82462,52.30417,55.50107,56.91223
310.2805,16.36777,319.809,1.194229,1.309509,57.82483,52.30219,55.51077,56.70319
310.4695,16.4053,320.8084,1.214275,1.344566,57.82795,52.29312,55.49774,57.32248
310.702,16.47849,320.4727,1.209888,1.317838,57.82432,52.27631,55.48157,57.27692
309.9898,16.55994,320.1141,1.204262,1.344566,57.82977,52.2829,55.48151,57.30438
309.5683,16.55591,320.9595,1.207634,1.340942,57.81541,52.29623,55.48587,57.28455
310.4113,16.67361,322.8353,1.234322,1.341222,57.82011,52.27103,55.48264,58.07343
310.0406,16.91446,322.0858,1.217139,1.355307,57.82139,52.27011,55.46814,57.90667
310.5203,17.03629,322.0596,1.234322,1.370277,57.81552,52.27249,55.48407,57.97403
310.891,16.89417,323.8525,1.229324,1.349602,57.81689,52.28134,55.47202,58.13882
310.702,16.94833,324.8215,1.214275,1.349602,57.81949,52.2724,55.46655,58.30688
310.6512,17.19547,327.071,1.224308,1.389694,57.81611,52.25671,55.47781,59.22045
311.6613,17.44174,327.6888,1.234322,1.384659,57.81246,52.2677,55.47455,58.95663
312.3227,17.44305,328.3844,1.239338,1.389694,57.82614,52.25552,55.46384,59.13391
311.3634,17.4516,329.5462,1.244984,1.364632,57.78632,52.26025,55.4584,59.35691
311,17.36447,330.5817,1.224308,1.364632,57.79019,52.27353,55.46118,59.56039
313.0931,17.57428,331.1386,1.219292,1.364632,57.80936,52.29459,55.45218,59.68628
313.3838,18.10223,333.8144,1.229935,1.389694,57.79248,52.26273,55.45349,59.99734
312.8533,18.46286,332.0833,1.238483,1.364632,57.81134,52.28101,55.46001,59.83415
313.8126,18.49167,332.1457,1.229935,1.404724,57.80612,52.28394,55.46106,59.66034
315.9566,18.92778,334.2133,1.242142,1.374626,57.78841,52.27762,55.46051,59.98611
316.3781,19.52977,334.6427,1.221349,1.375275,57.78824,52.27429,55.4631,60.36246
315.9566,20.16718,334.3124,1.254314,1.415367,57.7917,52.28925,55.45911,60.30304
315.426,20.62976,334.7321,1.264381,1.394691,57.7804,52.2905,55.46027,60.22601
315.2719,20.38547,335.0067,1.261561,1.404724,57.78594,52.32074,55.4584,60.26088
316.2545,20.366,336.3419,1.259995,1.409721,57.78146,52.30557,55.46426,60.66284
317.4465,20.49298,336.4944,1.255782,1.404724,57.78284,52.32462,55.46732,60.50546
